,메뉴명,가격정보
0,사골 조랭이떡 만둣국,"5,900원"
1,한우 함박스테이크 & 반달 돈까스,"8,900원"
2,한우함박스테이크&토네이도소세지,"8,900원"
3,해바라기,"10,000원"
4,매화,"10,500원"
5,진달래,"8,000원"
6,개나리,"8,700원"
7,돈까스도련님 고기고기,"6,600원"
8,탕수육도련님 고기고기,"6,100원"
9,새치 고기고기,"7,100원"
10,돈치 고기고기,"6,100원"
11,카츠카츠,"4,900원"
12,숯불직화구이,"6,800원"
13,소불고기,"5,700원"
14,메가치킨제육,"7,800원"
15,칠리 찹쌀탕수육도련님,"4,500원"
16,동백,"6,200원"
17,치킨제육,"5,000원"
18,돈까스도련님,"4,900원"
19,제육볶음,"4,700원"
20,돈치스팸,"5,000원"
21,송정식 떡갈비,"6,900원"
22,제육 김치찌개 정식,"8,800원"
23,제육 김치 부대찌개 정식,"9,200원"
24,돈치스팸 김치 부대찌개 정식,"9,200원"
25,빅치킨마요 김치 부대찌개 정식,"8,200원"
26,치킨마요 김치 부대찌개 정식,"7,600원"
27,빅치킨마요 김치찌개 정식,"7,700원"
28,치킨마요 김치찌개 정식,"7,100원"
29,빅새치마요,"4,700원"
30,새치마요,"4,100원"
31,메가스팸마요,"5,900원"
32,스팸마요,"4,000원"
33,메가치킨마요,"6,200원"
34,왕치킨마요,"5,100원"
35,빅치킨마요,"4,400원"
36,치킨마요,"3,800원"
37,참치마요,"3,600원"
38,돈치마요,"4,100원"
39,돈까스 카레,"4,800원"
40,잡채볶음밥(중화풍 매운맛),"5,500원"
41,잡채볶음밥(오리지널),"5,300원"
42,스팸 김치볶음밥,"4,900원"
43,김치볶음밥,"4,100원"
44,스팸 철판볶음밥,"4,900원"
45,소불고기 철판볶음밥,"5,100원"
46,나시고랭,"6,300원"
47,묵은지 김치찌개,"5,000원"
48,김치 부대찌개,"6,100원"
49,핫 치즈 닭갈비덮밥,"6,000원"
50,오리지널 치즈 닭갈비덮밥,"6,000원"
51,숯불직화구이 덮밥,"6,000원"
52,마파두부 덮밥,"5,000원"
53,왕카레돈까스덮밥,"6,100원"
54,새우돈까스 덮밥,"4,400원"
55,돈까스 덮밥,"4,300원"
56,아보카도 소불고기 명란 비빔밥,"6,700원"
57,소불고기 감초고추장 비빔밥,"5,600원"
58,시골제육 두부강된장 비빔밥,"5,400원"
59,참치야채 감초고추장 비빔밥,"3,700원"
60,튼튼도시락,"5,200원"
61,반찬 묵은지김치찌개,"4,400원"
62,반찬 카레,"2,900원"
63,반찬 순살 고등어 간장구이,"3,900원"
64,반찬 김치 부대찌개,"4,900원"
65,반찬 치킨,"3,800원"
66,반찬 고기고기,"3,600원"
67,반찬 돈까스도련님,"4,100원"
68,반찬 제육볶음,"3,500원"
69,반찬 토네이도 소세지,"3,200원"
70,반찬 돈까스,"2,900원"
71,치즈버터 해시 포테이토 스틱,"2,200원"
72,허니버터 해시 포테이토 스틱,"2,200원"
73,해시 포테이토 스틱,"2,000원"
74,뉴 감자고로케,"2,700원"
75,미니 찹쌀핫도그,"2,800원"
76,미니 찹쌀탕수육,"2,300원"
77,케이준후라이,"1,900원"
78,통현미 닭강정(소),"3,500원"
79,통현미 닭강정(중),"8,500원"
80,후라이드 순살(중),"7,500원"
81,후라이드 순살(소)_양념치킨소스,"4,000원"
82,후라이드 순살(소)_케이준소스,"4,000원"
83,3종 미니반찬B,"1,300원"
84,3종 미니반찬A,"1,300원"
85,오징어젓갈,600원
86,한솥 두부강된장소스,"1,800원"
87,한솥 감초볶음고추장소스,500원
88,볶음김치,500원
89,김치,400원
90,무말랭이 무침,500원
91,한솥밥,"1,000원"
92,현미밥,"1,700원"
93,리얼꿀 미니호떡,"2,200원"
