,노래제목,가수
0,Love wins all,아이유
1,밤양갱,비비 (BIBI)
2,첫 만남은 계획대로 되지 않아,TWS (투어스)
3,To. X,태연 (TAEYEON)
4,비의 랩소디,임재현
5,Love 119,RIIZE
6,에피소드,이무진
7,Perfect Night,LE SSERAFIM (르세라핌)
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
9,Drama,aespa
10,EASY,LE SSERAFIM (르세라핌)
11,Super Lady,(여자)아이들
12,헤어지자 말해요,박재정
13,Wife,(여자)아이들
14,사랑은 늘 도망가,임영웅
15,인사,범진
16,꿈,태연 (TAEYEON)
17,Seven (feat. Latto) - Clean Ver.,정국
18,모래 알갱이,임영웅
19,MANIAC,VIVIZ (비비지)
20,I AM,IVE (아이브)
21,우리들의 블루스,임영웅
22,Get A Guitar,RIIZE
23,Do or Die,임영웅
24,다시 만날 수 있을까,임영웅
25,너의 모든 순간,성시경
26,Baddie,IVE (아이브)
27,Love Lee,AKMU (악뮤)
28,이제 나만 믿어요,임영웅
29,무지개,임영웅
30,You & Me,제니 (JENNIE)
31,사막에서 꽃을 피우듯,우디 (Woody)
32,예뻤어,DAY6 (데이식스)
33,London Boy,임영웅
34,Polaroid,임영웅
35,아버지,임영웅
36,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
37,Super Shy,NewJeans
38,Hype Boy,NewJeans
39,퀸카 (Queencard),(여자)아이들
40,인생찬가,임영웅
41,사랑인가 봐,멜로망스
42,한 페이지가 될 수 있게,DAY6 (데이식스)
43,Ditto,NewJeans
44,후라이의 꿈,AKMU (악뮤)
45,A bientot,임영웅
46,Standing Next to You,정국
47,ETA,NewJeans
48,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
49,사랑할 수밖에,볼빨간사춘기
50,사건의 지평선,윤하 (YOUNHA)
51,기억해줘요 내 모든 날과 그때를,화곡동 청개구리
52,사랑하지 않아서 그랬어,임한별
53,Spicy,aespa
54,취중고백,김민석
55,심(心),DK(디셈버)
56,첫 눈,EXO
57,연애편지,임영웅
58,그대가 내 안에 박혔다(그내박),순순희(기태)
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
60,별 떨어진다 (I Do),디오 (D.O.)
61,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
62,봄날,방탄소년단
63,나는 아픈 건 딱 질색이니까,(여자)아이들
64,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom)
65,Dynamite,방탄소년단
66,LOVE DIVE,IVE (아이브)
67,I Don't Think That I Like Her,Charlie Puth
68,주저하는 연인들을 위해,잔나비
69,Kitsch,IVE (아이브)
70,Steal The Show (From “엘리멘탈”),Lauv
71,해요 (2022),#안녕
72,"그대가 있는 곳, 언제 어디든",로이킴
73,사랑..그게 뭔데,지아
74,손오공,세븐틴 (SEVENTEEN)
75,Discord,QWER
76,음악의 신,세븐틴 (SEVENTEEN)
77,물론,허각
78,After LIKE,IVE (아이브)
79,다정히 내 이름을 부르면,"경서예지, 전건호"
80,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
81,OMG,NewJeans
82,Dangerously,Charlie Puth
83,Fast Forward,전소미
84,I Love You,안세하
85,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지"
86,Off The Record,IVE (아이브)
87,Butter,방탄소년단
88,그중에 그대를 만나,김호중
89,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
90,Bubble,STAYC(스테이씨)
91,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
92,Attention,NewJeans
93,나에게 그대만이,탑현
94,Either Way,IVE (아이브)
95,Merry PLLIstmas,PLAVE
96,여섯 번째 여름,PLAVE
97,눈이 오잖아(Feat.헤이즈),이무진
98,잠시라도 우리,"성시경, 나얼"
99,Talk Saxy,RIIZE
