순번,메뉴명,가격
1,사골 조랭이떡 만둣국,"5,900원"
2,한우 함박스테이크 & 반달 돈까스,"8,900원"
3,한우함박스테이크&토네이도소세지,"8,900원"
4,해바라기,"10,000원"
5,매화,"10,500원"
6,진달래,"8,000원"
7,개나리,"8,700원"
8,돈까스도련님 고기고기,"6,600원"
9,탕수육도련님 고기고기,"6,100원"
10,새치 고기고기,"7,100원"
11,돈치 고기고기,"6,100원"
12,카츠카츠,"4,900원"
13,숯불직화구이,"6,800원"
14,소불고기,"5,700원"
15,메가치킨제육,"7,800원"
16,칠리 찹쌀탕수육도련님,"4,500원"
17,동백,"6,200원"
18,치킨제육,"5,000원"
19,돈까스도련님,"4,900원"
20,제육볶음,"4,700원"
21,돈치스팸,"5,000원"
22,송정식 떡갈비,"6,900원"
23,제육 김치찌개 정식,"8,800원"
24,제육 김치 부대찌개 정식,"9,200원"
25,돈치스팸 김치 부대찌개 정식,"9,200원"
26,빅치킨마요 김치 부대찌개 정식,"8,200원"
27,치킨마요 김치 부대찌개 정식,"7,600원"
28,빅치킨마요 김치찌개 정식,"7,700원"
29,치킨마요 김치찌개 정식,"7,100원"
30,빅새치마요,"4,700원"
31,새치마요,"4,100원"
32,메가스팸마요,"5,900원"
33,스팸마요,"4,000원"
34,메가치킨마요,"6,200원"
35,왕치킨마요,"5,100원"
36,빅치킨마요,"4,400원"
37,치킨마요,"3,800원"
38,참치마요,"3,600원"
39,돈치마요,"4,100원"
40,돈까스 카레,"4,800원"
41,잡채볶음밥(중화풍 매운맛),"5,500원"
42,잡채볶음밥(오리지널),"5,300원"
43,스팸 김치볶음밥,"4,900원"
44,김치볶음밥,"4,100원"
45,스팸 철판볶음밥,"4,900원"
46,소불고기 철판볶음밥,"5,100원"
47,나시고랭,"6,300원"
48,묵은지 김치찌개,"5,000원"
49,김치 부대찌개,"6,100원"
50,핫 치즈 닭갈비덮밥,"6,000원"
51,오리지널 치즈 닭갈비덮밥,"6,000원"
52,숯불직화구이 덮밥,"6,000원"
53,마파두부 덮밥,"5,000원"
54,왕카레돈까스덮밥,"6,100원"
55,새우돈까스 덮밥,"4,400원"
56,돈까스 덮밥,"4,300원"
57,아보카도 소불고기 명란 비빔밥,"6,700원"
58,소불고기 감초고추장 비빔밥,"5,600원"
59,시골제육 두부강된장 비빔밥,"5,400원"
60,참치야채 감초고추장 비빔밥,"3,700원"
61,튼튼도시락,"5,200원"
62,반찬 묵은지김치찌개,"4,400원"
63,반찬 카레,"2,900원"
64,반찬 순살 고등어 간장구이,"3,900원"
65,반찬 김치 부대찌개,"4,900원"
66,반찬 치킨,"3,800원"
67,반찬 고기고기,"3,600원"
68,반찬 돈까스도련님,"4,100원"
69,반찬 제육볶음,"3,500원"
70,반찬 토네이도 소세지,"3,200원"
71,반찬 돈까스,"2,900원"
72,치즈버터 해시 포테이토 스틱,"2,200원"
73,허니버터 해시 포테이토 스틱,"2,200원"
74,해시 포테이토 스틱,"2,000원"
75,뉴 감자고로케,"2,700원"
76,미니 찹쌀핫도그,"2,800원"
77,미니 찹쌀탕수육,"2,300원"
78,케이준후라이,"1,900원"
79,통현미 닭강정(소),"3,500원"
80,통현미 닭강정(중),"8,500원"
81,후라이드 순살(중),"7,500원"
82,후라이드 순살(소)_양념치킨소스,"4,000원"
83,후라이드 순살(소)_케이준소스,"4,000원"
84,3종 미니반찬B,"1,300원"
85,3종 미니반찬A,"1,300원"
86,오징어젓갈,600원
87,한솥 두부강된장소스,"1,800원"
88,한솥 감초볶음고추장소스,500원
89,볶음김치,500원
90,김치,400원
91,무말랭이 무침,500원
92,한솥밥,"1,000원"
93,현미밥,"1,700원"
94,리얼꿀 미니호떡,"2,200원"
